group,source,input.human.mj,input.mj,output.mj,EROI,area,areaperson,density,mode,country
Enga (Raiapu),Bayless-Smith 1977:Table XII; Waddell 1972: 14,732.2,732.2,9677.592,13.2171428571429,6.5,0.0141304347826087,70.7692307692308,intensive,New Guinea
Miyanmin,Bayless-Smith 1977:Table XII; Morren 1986: 166,418.4,418.4,3485.272,8.33,810,0.885245901639344,1.12962962962963,extensive,New Guinea
Ontong Java ,"Bayless-Smith 1977: 329, Table XII",1154.784,1154.784,14070.792,12.1847826086957,7.77,0.00903488372093023,110.682110682111,intensive,Java
G/Wi,Kraft et al. 2021 Table S2,1343.2,1343.2,4285.21096,3.1903,3409.09090909091,34.0909090909091,0.0293333333333333,foraging,Botswana
Nukak,Kraft et al. 2021 Table S2; Politis 2007,1781.2,1781.2,5760.44752,3.2340262295082,2500,25,0.04,foraging,Columbia
!Kung San,Kraft et al. 2021 Table S2,1518.4,1518.4,5240.44954,3.45129711538461,1515.15151515152,15.1515151515152,0.0659999999999998,foraging,Botswana
Mekranoti,Kraft et al. 2021 Table S2; Werner et al. 1979. Area estimated at 300000,934.4,934.4,33537.044464,35.89152875,1052.63157894737,10.5263157894737,0.0949999999999999,extensive,Brazil
Xavante,Kraft et al. 2021 Table S2; Werner et al. 1979,1138.8,1138.8,23333.47764,20.4895307692308,1035.35353535354,10.3535353535354,0.0965853658536581,extensive,Brazil
Baaka,Noss 1997:80-81,238.472,238.472,189.630925,0.795191573853534,730,7.3,0.136986301369863,foraging,Central African Republic
Hiwi,Kraft et al. 2021 Table S2,1343.2,876,3892.73084,4.44375666666667,567.532467532468,5.67532467532468,0.176201372997712,foraging,Venezuela
Tatuyo,Kraft et al. 2021 Table S2; Dufour 1981,2482,2482,8985.80944,3.62039058823529,500,5,0.2,extensive,Columbia
Kanela,Kraft et al. 2021 Table S2; Werner et al. 1979,1080.4,1080.4,19680.51092,18.2159486486486,418.2156133829,4.182156133829,0.239111111111111,extensive,Brazil
Hadza,Kraft et al. 2021 Table S2,1562.2,1562.2,7007.37366,4.48558037383178,416.666666666667,4.16666666666667,0.24,foraging,Tanzania
Maku,Kraft et al. 2021 Table S2; Milton 1984,2277.6,2277.6,13579.50672,5.9622,369.79969183359,3.6979969183359,0.270416666666667,extensive,Brazil/Columbia
Yanomamo,Kraft et al. 2021 Table S2; Lizot 1977,1051.2,1051.2,3820.95432,3.63485,294.11,2.9411,0.340008840229846,extensive,Venezuela
Shipibo,Kraft et al. 2021 Table S2; Bergman 1980,671.6,671.6,5172.49092,7.70174347826087,261.682242990654,2.61682242990654,0.382142857142857,extensive,Peru
Batek,Kraft et al. 2021 Table S2,1022,1022,3555.22848,3.47869714285714,231.132075471698,2.31132075471698,0.43265306122449,foraging,Malaysia
Bororo,Kraft et al. 2021 Table S2; Werner et al. 1979,846.8,846.8,3909.835032,4.61718827586207,182.692307692308,1.82692307692308,0.547368421052631,extensive,Brazil
Miskito,Nietschmann 1973:230,1600,1600,25940.8,16.213,1037.47,1.03747,0.963883293010882,extensive,Panama
Iban_Sea Dayaks,"Sandeford 2021: SI; Freeman 1955: Tables 17 and 20, pp. 90-95",1717.70625,1717.70625,25102.47242,14.613949515524,2.200480125,0.29,3.44827586206897,extensive,Borneo
Iban_Sea Dayaks,"Sandeford 2021: SI; Freeman 1955: Tables 17 and 20, pp. 90-95",1737.45,1737.45,27891.63602,16.0532021180466,2.225773,0.29,3.44827586206897,extensive,Borneo
Iban_Sea Dayaks,"Sandeford 2021: SI; Freeman 1955: Tables 17 and 20, pp. 90-95",1500.525,1500.525,24356.07653,16.2317032571933,1.9222585,0.29,3.44827586206897,extensive,Borneo
Iban_Sea Dayaks,"Sandeford 2021: SI; Freeman 1955: Tables 17 and 20, pp. 90-95",1579.5,1579.5,37712.63462,23.8763118835074,2.02343,0.29,3.44827586206897,extensive,Borneo
Nunoa,Kraft et al. 2021 Table S2; Thomas 1973,1284.8,1284.8,2967.27188,2.30952045454545,20.6451612903226,0.206451612903226,4.84375,intensive,Peru
Kenyah,Sandeford 2021: SI; Chin 1984: pp. 277-350,474.474,474.474,4959.04416,10.4516668141985,0.21,0.113175675675676,8.83582089552236,extensive,Malaysia
Kenyah,Sandeford 2021: SI; Chin 1984: pp. 277-350,899.652,899.652,32114.292,35.6963492550453,2.58,0.113175675675676,8.83582089552236,extensive,Malaysia
Yucatec Maya,Sandeford 2021: SI; Streggerda 1941,3329.28,3329.28,75661.88799,22.7262014579729,5.1,0.0554156171284635,18.0454545454545,extensive,Mexico
Yucatec Maya Piste,Sandeford 2021: SI; Streggerda 1941,1632,1632,39773.89896,24.3712616176471,2.5,0.0554156171284635,18.0454545454545,extensive,Mexico
Yucatec Maya Piste,Sandeford 2021: SI; Streggerda 1941,1632,1632,41099.69559,25.1836370036765,2.5,0.0554156171284635,18.0454545454545,extensive,Mexico
Yucatec Maya Piste,Sandeford 2021: SI; Streggerda 1941,1632,1632,49717.3737,30.4640770220588,2.5,0.0554156171284635,18.0454545454545,extensive,Mexico
Yucatec Maya Piste,Sandeford 2021: SI; Streggerda 1941,1762.56,1762.56,55842.55414,31.682640103032,2.7,0.0554156171284635,18.0454545454545,extensive,Mexico
Yucatec Maya Piste,Sandeford 2021: SI; Streggerda 1941,1305.6,1305.6,44546.76684,34.1197662683823,2,0.0554156171284635,18.0454545454545,extensive,Mexico
Yucatec Maya Piste,Sandeford 2021: SI; Streggerda 1941,4569.6,4569.6,185611.5285,40.6187693671218,7,0.0554156171284635,18.0454545454545,extensive,Mexico
Hanuoo,Sandeford 2021:SI; Conklin 1957: 152-52,1328,1328,37043.4624,27.8941734939759,1,0.0439716312056738,22.7419354838709,extensive,Phillippines
Tepoztlan,Sandeford 2021: SI; Lewis 1963: 146-154 ,1288,1288,18715.032,14.5303043478261,1.2,0.0429400066291018,23.2883056734851,intensive,Mexico
Tepoztlan,Sandeford 2021: SI; Lewis 1963: 146-154 ,544,709.6,12476.688,17.5827057497182,1.2,0.0429400066291018,23.2883056734851,intensive,Mexico
Tepoztlan,Sandeford 2021: SI; Lewis 1963: 146-154 ,532.8,705.6,14556.136,20.6294444444444,1.2,0.0429400066291018,23.2883056734851,intensive,Mexico
Tepoztlan,Sandeford 2021: SI; Lewis 1963: 146-154 ,1144,1144,31191.72,27.2654895104895,0.7,0.0429400066291018,23.2883056734851,extensive,Mexico
Tepoztlan,Sandeford 2021: SI; Lewis 1963: 146-154 ,4089.6,369.2,42142.76,114.146153846154,1,0.0429400066291018,23.2883056734851,extensive,Mexico
Tsembaga,"Sandeford 2021: SI; Rappoport 1967: Tables 3, 4, 5",1201.611328,1201.611328,19169.3893,15.9530697267195,0.405,0.037,27.027027027027,extensive,New Guinea
Tsembaga,"Sandeford 2021: SI; Rappoport 1967: Tables 3, 4, 5",1318.67128,1318.67128,21748.05544,16.4924009264841,0.405,0.037,27.027027027027,extensive,New Guinea
Napsaan,Sandeford 2021:SI; Connelly 1992: Table 2,660.8,660.8,8304.90528,12.5679559322034,1,0.0234,42.7350427350427,extensive,Phillipines
Napsaan,Sandeford 2021:SI; Connelly 1992: Table 2,717.6,717.6,12487.23168,17.4013819397993,1,0.0234,42.7350427350427,extensive,Phillipines
Napsaan,Sandeford 2021:SI; Connelly 1992: Table 2,840,840,16131.8304,19.20456,1,0.0234,42.7350427350427,intensive,Phillipines
Napsaan,Sandeford 2021:SI; Connelly 1992: Table 2,1019.2,1019.2,27020.81592,26.5117895604396,1,0.0234,42.7350427350427,intensive,Phillipines
Zinacantan,"Sandeford 20921: SI; Cancian 1972: Table 4.2, p. 70",788.4,569.4,17308.2096,30.3972771338251,1,0.013,76.9230769230769,extensive,Mexico
Zinacantan,"Sandeford 20921: SI; Cancian 1972: Table 4.2, p. 70",820.8,592.8,23077.6128,38.9298461538462,1,0.013,76.9230769230769,extensive,Mexico
Zinacantan,"Sandeford 20921: SI; Cancian 1972: Table 4.2, p. 70",853.2,616.2,28847.016,46.8143719571568,1,0.013,76.9230769230769,extensive,Mexico
Zinacantan,"Sandeford 20921: SI; Cancian 1972: Table 4.2, p. 70",169.344,169.344,25056.75427,147.963637743292,1,0.013,76.9230769230769,extensive,Mexico
Shan,Sandeford 2021: SI; Moerman 1968: 49,16213.6,16966.38,1443768.947,85.095874724013,31.889178,0.00597910447761194,167.249126310534,intensive,Thailand
Panajachel,Sandeford 2021: SI; Tax 1963: pp. 50-51,282.24,282.24,5061.97056,17.9349863945578,3.508893315,0.00515966666666667,193.810969700885,extensive,Mexico
Panajachel,Sandeford 2021: SI; Tax 1963: pp. 50-51,1674.624,1674.624,33112.88042,19.773322501051,13.19541571,0.00515966666666667,193.810969700885,extensive,Mexico
Panajachel,Sandeford 2021: SI; Tax 1963: pp. 50-51,1674.624,1674.624,35140.19963,20.9839340831136,1.937304478,0.00515966666666667,193.810969700885,extensive,Mexico
Panajachel,Sandeford 2021: SI; Tax 1963: pp. 50-51,360,489.6,10397.24,21.2361928104575,4.398471902,0.00515966666666667,193.810969700885,extensive,Mexico
Panajachel,Sandeford 2021: SI; Tax 1963: pp. 50-51,1674.624,1674.624,40095.86881,23.9432068392666,13.19541571,0.00515966666666667,193.810969700885,extensive,Mexico
Panajachel,Sandeford 2021: SI; Tax 1963: pp. 50-51,245.8624,245.8624,6448.950493,26.2299176002512,1.539465166,0.00515966666666667,193.810969700885,extensive,Mexico
Panajachel,Sandeford 2021: SI; Tax 1963: pp. 50-51,282.24,282.24,7795.434662,27.6198790462018,1.976841304,0.00515966666666667,193.810969700885,extensive,Mexico
Panajachel,Sandeford 2021: SI; Tax 1963: pp. 50-51,558.208,558.208,18020.61519,32.2829755037549,4.398471902,0.00515966666666667,193.810969700885,extensive,Mexico
Panajachel,Sandeford 2021: SI; Tax 1963: pp. 50-51,195.3728,195.3728,6570.015956,33.6280994897959,1.976841304,0.00515966666666667,193.810969700885,extensive,Mexico
Panajachel,Sandeford 2021: SI; Tax 1963: pp. 50-51,445.312,445.312,14974.99624,33.6280994897959,1.33436788,0.00515966666666667,193.810969700885,extensive,Mexico
Panajachel,Sandeford 2021: SI; Tax 1963: pp. 50-51,558.208,558.208,18771.47416,33.6280994897959,13.19541571,0.00515966666666667,193.810969700885,extensive,Mexico
